Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Variação X,Variação Y,Variação Z,X_max,X_min,Y_max,Y_min,Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,d1,d2,d3,d4,d5,d6,d7,Resultado
RETANGULO,14,2025-05-14 11:37:22/13:14:02,100.0,-0.0188556566970087,2.3499999999999943,0.0003771131339401,0.3901170351105332,24.647379310344824,100.0,18.35238065350682,34.40204347458808,4.502739007799569,145.59,75.16,170.19,49.85,71.01300390117035,5.576395327183758,32.71,4.28,98.7,49.3,12.3,,,,,OK
QUADRADO,15,2025-05-14 13:46:36/14:31:12,100.0,-0.0299539170506904,1.1500000000000057,-0.0003686635944701,0.4608294930875576,76.88744394618834,100.2309468822171,18.30917493587034,17.89184149440934,4.4931472011572025,145.63,74.77,135.84,74.81,71.2258064516129,7.141245867157969,34.54,4.12,49.6,49.4,12.0,,,,,OK
L,16,2025-05-14 15:32:50/17:16:46,200.0,-0.0064446721311468,0.3000000000000113,0.0002561475409834,0.0,10.365779345734444,100.0,32.48674236891121,31.49456693939356,4.420572202841736,169.61,60.6,161.51,50.9,71.76024590163935,2.400832663459056,31.30,3.82,98.9,99.3,49.4,49.4,49.6,49.6,12.1,OK
RETANGULO,17,2025-05-15 09:04:56/10:25:22,200.0,-0.0080426098535284,0.2299999999999897,-0.0007057256990679,0.0,27.547658516369665,100.0,18.12761048197484,34.00143404813645,4.4519830997263705,138.37,78.57,169.79,50.9,71.71105193075898,1.9371106555812103,32.95,3.76,98.9,49.4,12.3,,,,,OK
RETANGULO,18,2025-05-15 10:35:33/12:11:46,150.0,-0.1105193075898796,2.219999999999999,0.0004394141145138,0.6657789613848202,24.79165078815174,100.0,18.13374905865079,34.43795452476461,4.51046069719431,145.29,74.59,169.74,49.51,71.07989347536618,5.200154663274036,32.51,4.24,99.0,49.7,12.0,,,,,OK
QUADRADO,19,2025-05-15 12:49:44/13:28:43,275.0,0.0226439790575917,4.879999999999996,0.0008638743455494,0.5235602094240838,88.03326207781103,100.0,17.844722425345527,17.880862972799267,4.433465956738201,145.49,83.38,144.9,74.32,71.41623036649214,7.624869410133864,33.83,3.81,49.7,49.4,12.3,,,,,OK
RETANGULO,20,2025-05-15 13:51:48/15:03:06,275.0,-0.0694126284875175,1.9199999999999875,1.4684287811881728e-05,0.7342143906020557,33.38232819074334,100.0,18.06029220715354,33.87169581275919,4.447484934048249,145.63,74.71,169.74,49.81,72.00881057268722,6.151990010003444,32.84,3.75,98.9,49.5,12.1,,,,,OK
L,21,2025-05-15 15:20:24/18:24:48,100.0,-0.0278910976663777,1.2299999999999898,0.0005445116681069,0.3457216940363007,7.278633405639914,100.0,33.92767570849956,32.210024963071305,4.488117066788121,169.11,50.26,170.53,50.52,70.40017286084702,4.0517542833767015,31.08,3.86,98.7,99.3,49.2,49.2,49.4,49.4,12.3,OK
L,22,2025-05-16 07:09:49/09:08:20,200.0,-0.0062790697674413,0.2599999999999909,-0.0002976744186048,0.0,11.322205034453663,100.0,32.00105224866774,32.80879984081311,4.451153653022664,159.13,49.41,169.79,50.52,71.56372093023256,2.306654836088029,32.43,4.13,98.9,99.5,49.5,49.5,49.8,49.8,12.0,OK
QUADRADO,23,2025-05-16 09:28:54/10:13:30,200.0,-0.0070967741935474,0.7700000000000102,-0.0012903225806453,0.0,76.88744394618834,100.0,17.898534581388198,16.923639853248382,4.477552707983934,145.63,74.71,144.89,74.81,71.44516129032257,2.188750437140913,34.18,4.35,49.6,49.4,12.3,,,,,OK
