Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Variação X,Variação Z,X_min,Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,Taxa Variação temp_nozzle,Resultado
QUADRADO,36,2025-06-03 11:33:44/11:45:38,174.0095238095238,-0.12171428571428572,1.0699999999999932,0.0013333333333332695,2.857142857142857,71.89159663865546,100.96153846153845,70.27999999999999,0.6000000000000001,74.98,68.72380952380952,11.786967410347785,33.03809523809524,5.274984158787387,0.2641346153846148,OK
QUADRADO,37,2025-06-03 12:36:21/12:47:06,199.73737373737373,-0.1038383838383827,1.3100000000000025,0.00030303030303024237,2.0202020202020203,79.78511627906977,101.0204081632653,60.099999999999994,0.6000000000000001,84.28,68.84848484848484,9.117558342553677,32.74747474747475,4.6210331788099,0.2780612244897953,OK
QUADRADO,38,2025-06-03 13:42:49/13:53:26,200.0,-0.008736842105263608,14.28,-0.0029473684210527895,5.263157894736842,80.54034536891679,101.06382978723406,70.72000000000001,0.6000000000000001,74.77,67.15789473684211,14.479123481665333,32.8421052631579,5.043039841193567,0.7558510638297864,OK
L,39,2025-06-03 15:41:10/16:27:17,124.89082969432314,0.0018340611353724909,0.7199999999999989,0.0003056768558950732,0.0,54.71123960968558,100.43859649122805,119.93,0.6000000000000001,49.81,67.77729257641921,3.3584417866324605,30.716157205240176,4.399237482941614,0.055570175438595784,OK
QUADRADO,40,2025-06-04 07:14:04/07:30:03,125.0,-0.009652173913042851,0.5500000000000114,-0.000869565217391686,0.0,53.31303441084463,100.87719298245614,71.33,0.6000000000000001,74.3,67.76521739130435,3.419065314931124,32.947826086956525,5.499351601749463,0.06122807017543972,OK
RETANGULO,41,2025-06-04 08:56:26/09:19:33,172.00598802395209,-0.0022155688622753017,0.5300000000000011,0.0005988023952095034,0.0,73.16496034607066,100.60240963855422,69.96000000000001,0.6000000000000001,75.06,67.8622754491018,3.41491443147162,30.91616766467066,5.12072704463879,0.05656626506023949,OK
RETANGULO,42,2025-06-04 11:09:17/11:28:53,209.7826086956522,0.007763975155279858,1.4799999999999898,-0.0004968944099380974,0.0,86.32704081632653,100.62500000000001,64.81,0.6000000000000001,80.82,67.71428571428571,4.8649621933635965,31.167701863354036,4.75031054885457,0.06931250000000053,OK
QUADRADO,43,2025-06-04 13:19:47/13:30:02,210.0,0.01826530612245093,1.7299999999999898,0.0026530612244895545,0.0,83.49951219512195,101.03092783505154,70.91000000000001,0.6000000000000001,74.77,67.3265306122449,6.719375753719373,32.13265306122449,5.696151269098675,0.11041237113402126,OK
L,44,2025-06-04 15:36:16/17:29:30,50.62256809338521,-0.0029961089494151658,0.5600000000000023,0.00031128404669232367,0.0,22.287430085369444,100.390625,119.94,0.6000000000000001,49.85,66.10505836575875,3.2859569953799426,29.186770428015564,4.677503933162118,0.04820312500000109,OK
RETANGULO,45,2025-06-05 08:34:20/09:00:31,149.4047619047619,0.0007142857142869315,0.5600000000000023,-0.0004761904761906769,0.0,64.61018459579886,100.59880239520957,70.52,0.6000000000000001,75.11,67.79166666666667,3.2973481754312752,31.785714285714285,5.321004426750207,0.04473053892215498,OK
